Pipeline name,Cloned Pipeline name,Table Names,Table Type,Workspace path,Workspace cloned path,Status
KCD_3PD_DATAAXLE_RNL_LYTICS_UPLOAD_ONETIME,,kcd.audit_logs,Managed Table,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,Table Created
KCD_3PD_DATAAXLE_RNL_LYTICS_UPLOAD_ONETIME,,kcd.3pd_enrichment_data,External Table ,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/LYTICS_UPLOAD/01_Lytics_Upload_Utilities_3pd,,
KCD_SFTP_CIRCANA_CRM_LIFT_STUDY,,kcd.crmiriliftclxread2,Views,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Circana/CRM_Lift_Study/CRM_LIFT_STUDY_Upload_FILES_ADLS,,
KCD_SFTP_CIRCANA_CRM_LIFT_STUDY,,kcd.crmiriliftclx,Views,/Workspace/Repos/KCD/clx-mktg-kcd-lytics_databricks/KCD/Circana/CRM_Lift_Study/CRM_LIFT_STUDY_Upload_FILES_ADLS,,
KCD_3PD_DATAAXLE_BRITA_LYTICS_UPLOAD,,kcd.3pd_enrichment_data,External Table ,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,
KCD_3PD_DATAAXLE_BRITA_LYTICS_UPLOAD,,kcd.audit_logs,Managed Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,Table Created
KCD_3PD_DATAAXLE_BURTS_BEE_LYTICS_UPLOAD,,kcd.3pd_enrichment_data,External Table ,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,
KCD_3PD_DATAAXLE_BURTS_BEE_LYTICS_UPLOAD,,kcd.audit_logs,Managed Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,Table Created
KCD_3PD_DATAAXLE_CLOROX_LYTICS_UPLOAD,,kcd.3pd_enrichment_data,External Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,
KCD_3PD_DATAAXLE_CLOROX_LYTICS_UPLOAD,,kcd.audit_logs,Managed Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,Table Created
KCD_3PD_DATAAXLE_GLAD_LYTICS_UPLOAD,,kcd.3pd_enrichment_data,External Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,
KCD_3PD_DATAAXLE_GLAD_LYTICS_UPLOAD,,kcd.audit_logs,Managed Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,Table Created
KCD_3PD_DATAAXLE_HVR_LYTICS_UPLOAD,,kcd.3pd_enrichment_data,External Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,
KCD_3PD_DATAAXLE_HVR_LYTICS_UPLOAD,,kcd.audit_logs,Managed Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,Table Created
KCD_3PD_DATAAXLE_KINGSFORD_LYTICS_UPLOAD,,kcd.3pd_enrichment_data,External Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,
KCD_3PD_DATAAXLE_KINGSFORD_LYTICS_UPLOAD,,kcd.audit_logs,Managed Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,Table Created
KCD_3PD_DATAAXLE_PAWPOINTS_LYTICS_UPLOAD,,kcd.3pd_enrichment_data,External Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,
KCD_3PD_DATAAXLE_PAWPOINTS_LYTICS_UPLOAD,,kcd.audit_logs,Managed Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,Table Created
KCD_3PD_DATAAXLE_PINE_SOL_LYTICS_UPLOAD,,kcd.3pd_enrichment_data,External Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,
KCD_3PD_DATAAXLE_PINE_SOL_LYTICS_UPLOAD,,kcd.audit_logs,Managed Table,https://adb-6570979354637638.18.azuredatabricks.net/editor/notebooks/761526779945652?o=6570979354637638,,Table Created
